strain	norm.n
AB1	22.5461971908028
CB4852	10.494224912407
CB4854	-9.3425421135434
CB4856	53.5465719986982
CB4857	-85.5643138890601
CB4858	33.4420744147931
CB4932	-5.34291692143886
CX11262	-65.9978758278121
CX11264	37.4041561384878
CX11271	-4.70083889625753
CX11276	59.2454626773347
CX11285	8.68706512221939
CX11292	-4.04315894019184
CX11307	69.6976610830866
CX11314	-10.2184005366977
CX11315	-29.5486380124431
DL200	2.36079576279749
DL226	27.9177496626043
DL238	-37.5693324833375
ED3005	-32.210360030565
ED3011	-2.86252394151317
ED3012	-5.67413092940538
ED3040	-3.4085196968175
ED3046	-6.91988962208179
ED3048	27.8814532608256
ED3049	-11.8176156370289
ED3052	-6.18724537214101
ED3073	1.8678227638427
ED3077	36.3853844042828
EG4347	31.760904992408
EG4349	39.5196858126281
EG4724	28.0391701897576
EG4725	-28.7953732373406
EG4946	26.3425214794327
JT11398	38.3939963069884
JU1172	29.9747405352774
JU1200	-3.15676587764264
JU1212	-24.5514330078682
JU1213	2.38043975573813
JU1242	38.5958232274016
JU1246	9.97511534317291
JU1395	20.8814532608256
JU1409	16.6851423855298
JU1440	-7.16450552161246
JU1491	37.1472610820908
JU1530	23.1309095354155
JU1568	47.2264943544523
JU1580	-51.8956018427593
JU1581	-19.5267704206502
JU1586	-10.2144324203741
JU1652	26.0489552133616
JU1896	-13.0228392771929
JU258	-46.010756709004
JU310	35.9618596540855
JU311	8.96582777040913
JU323	35.4365583696756
JU346	-30.2812822623838
JU360	-18.6497388765974
JU367	-3.78162009741299
JU393	-9.21530467910974
JU394	0.0973341833291988
JU406	4.09578625453524
JU440	21.5145445754059
JU561	19.0239917639808
JU642	3.29481817952339
JU751	-13.7480447453267
JU774	0.242471093232129
JU778	-42.0955060264831
JU782	0.945133299514743
JU792	-12.6102726714981
JU830	-44.701213704153
JU847	-1.24094379854882
KR314	38.0742934706378
LKC34	-38.5107936818704
LSJ1	-30.8139483828681
MY1	6.11028901025378
MY10	44.5060922885115
MY16	10.343197149491
MY18	-19.8644466782026
MY23	-41.9833730720936
N2	-14.4803141873719
PB303	21.4470190633378
PB306	-5.85855582518957
PX179	-45.6216795696287
RC301	9.03327933674454
WN2002	-45.4942085736513
